insert into phenome.locus (population_id, locus_name, locus_symbol, locus_synonym, original_symbol) values ((select population_id from phenome.population where phenome.population.population_name like 'tgrc'), 'anthocyaninless', 'a', '{a1,a}', 'a');										
locus_id	population_id	locus_name	locus_symbol	locus_synonym	original_symbol	gene_activity	gi_list	pubmed_list	unigene_id	notes
	ncbi	(1-4)-beta-mannan endohydrolase precursor	Man2				9836825	10938343		
	ncbi	1,4-alpha-glucan-maltohydrolase	bmy3			1,4-alpha-glucan-maltohydrolase	56562178			
	ncbi	1-aminocyclopropane-1-carboxylate oxidase	aco5			1-aminocyclopropane-1-carboxylate oxidase	50830974	16040352		
	ncbi	1-aminocyclopropane-1-carboxylate synthase	ACS8			1-aminocyclopropane-1-carboxylate synthase	9719036|14715589			
	ncbi	1-aminocyclopropane-1-carboxylate synthase 1B	ACS1B			1-aminocyclopropane-1-carboxylate synthase	1814261	9207843		
	ncbi	1-aminocyclopropane-1-carboxylate synthase 3	ACS3			1-aminocyclopropane-1-carboxylate synthase	170508|1561693	1549612		
	ncbi	1-aminocyclopropane-1-carboxylate synthase 6	ACS6			1-aminocyclopropane-1-carboxylate synthase	14715593|1814265|3986116|3107928	9207843		
	ncbi	1-aminocyclopropane-1-carboxylate synthase 1A	ACS1A	ACS1B		1-aminocyclopropane-1-carboxylate synthase	9719034|1814260|1621640|1621642	9207843		
	ncbi	1-aminocyclopropane-1-carboxylate synthase 5	ACS5			1-aminocyclopropane-1-carboxylate synthase	295351|14715587	1549612|9207843		
	ncbi	1-aminocyclopropane-1-carboxylate synthase 7	ACS7			1-aminocyclopropane-1-carboxylate synthase	14715591			
	ncbi	1-aminocyclopropane-1-carboxylic acid synthase-2	ACC2	ACS2,acs		1-aminocyclopropane-1-carboxylic acid synthase	170505|34481844|33149674|19163|19167|170363	8120053|1762159|2191304|1549612		
	ncbi	1-aminocyclopropane-1-carboxylic acid synthase-4	ACC4			1-aminocyclopropane-1-carboxylic acid synthase	170365|170510|19169|170359	1549612|1711229|1762159|2191304		
	ncbi	1-D-deoxyxylulose 5-phosphate synthase	dxs			1-D-deoxyxylulose 5-phosphate synthase	5059159	10886770		
	ncbi	1-deoxy-D-xylulose-5-phosphate reductoisomerase	DXR			1-deoxy-D-xylulose-5-phosphate reductoisomerase	15679907	11532167		
	ncbi	12-oxophytodienoate reductase	opr			12-oxophytodienoate reductase	4894181	10574986		
	ncbi	12-oxophytodienoate reductase 2	opr2			12-oxophytodienoate reductase	12056504	12445129		
	ncbi	12-oxophytodienoate reductase 3	opr3			12-oxophytodienoate reductase	47105783|12056506	12445129		
	ncbi	tft4	tft4			14-3-3 protein 	22217851|466335	7632735|10198082		
	ncbi	tft8	tft8			14-3-3 protein 	22138735	10198082		
	ncbi	tft9	tft9			14-3-3 protein 	22138737	10198082		
	ncbi	tft10	tft10			14-3-3 protein 	22138741|47104482	10198082		
	ncbi	17.6 kD class I small heat shock protein	HSP17.6				4836472			
	ncbi	17.7 kD class I small heat shock protein	HSP17.7				19261|4836468|24954800	2263483		
	ncbi	17.8 kD class I small heat shock protein	HSP17.8				4836470			
	ncbi	2-oxoglutarate-dependent dioxygenase	ODD				47104106|66730857			
	ncbi	2-oxoglutarate-dependent dioxygenase 2	GAD2				47105769|924633|717139	7647301|8580773		
	ncbi	3,4-dihydroxy-2-butanone kinase	dhbK			3,4-dihydroxy-2-butanone kinase	1929055|47105090			
	ncbi	3-phosphoinositide-dependent protein kinase-1	Pdk1				57168304			
	ncbi	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ispE				9454220	10880567		
	ncbi	40S ribosomal protein S17	Gi1				603569|5758303			
n	tgrc	6-Phosphogluconate dehydrogenase-1	Pgdh1		Pgdh-1					
